Fold,Ano de validação,Modelo,Average Precision,ROC-AUC,Brier score,Prevalência grave na validação
1,2022,Regressão Logística,0.3866809762501382,0.6169751375443843,0.19645154811277926,0.2849425749930347
1,2022,Random Forest,0.3880957692713414,0.6185441901535429,0.1966648077574826,0.2849425749930347
1,2022,XGBoost,0.390374557377428,0.6221008401959205,0.19586497357841257,0.2849425749930347
2,2023,Regressão Logística,0.3960583174959361,0.62737846563422,0.19444985459760528,0.28350500250863264
2,2023,Random Forest,0.3996726973944841,0.6294224726541079,0.19488729276566014,0.28350500250863264
2,2023,XGBoost,0.40496847114969603,0.6336685028033421,0.19345287692771096,0.28350500250863264
3,2024,Regressão Logística,0.3977855869271569,0.6287792847282672,0.19355777397050494,0.28193176226146865
3,2024,Random Forest,0.4001833160938038,0.6303369399771448,0.19399737763950947,0.28193176226146865
3,2024,XGBoost,0.4070898952179728,0.6367804799820942,0.19237455525677927,0.28193176226146865
